date,test_value,predicted_value
2018-09-28,246.72999572753906,248.22691387411868
2018-09-27,246.4499969482422,248.22691387411868
2018-09-26,245.42999267578125,248.22691387411868
2018-09-25,247.64999389648438,248.22691387411868
2018-09-24,249.4499969482422,248.22691387411868
2018-09-21,248.10000610351562,248.22691387411868
2018-09-20,244.92999267578125,248.22691387411868
2018-09-19,241.7899932861328,248.22691387411868
2018-09-18,239.72999572753906,248.22691387411868
2018-09-17,234.8300018310547,248.22691387411868
2018-09-14,236.33999633789062,248.5035209488248
2018-09-13,235.4199981689453,248.5035209488248
2018-09-12,229.88999938964844,248.5035209488248
2018-09-11,232.5500030517578,248.5035209488248
2018-09-10,240.61000061035156,248.5035209488248
2018-09-07,232.5800018310547,248.5035209488248
2018-09-06,215.97000122070312,248.5035209488248
2018-09-05,221.4199981689453,248.5035209488248
2018-09-04,219.42999267578125,248.5035209488248
2018-08-31,219.02999877929688,248.5035209488248
2018-08-30,216.64999389648438,248.5035209488248
2018-08-29,214.99000549316406,248.5035209488248
2018-08-28,214.42999267578125,248.5035209488248
2018-08-27,212.97000122070312,248.5035209488248
2018-08-24,209.0,248.5035209488248
2018-08-23,205.58999633789062,248.5035209488248
2018-08-22,207.5399932861328,248.5035209488248
2018-08-21,210.50999450683594,248.5035209488248
2018-08-20,206.72000122070312,248.5035209488248
2018-08-17,209.27000427246094,248.5035209488248
2018-08-16,208.69000244140625,248.5035209488248
2018-08-15,206.5800018310547,248.5035209488248
2018-08-14,207.3000030517578,248.5035209488248
2018-08-13,211.0800018310547,248.5035209488248
2018-08-10,212.22999572753906,248.5035209488248
2018-08-09,216.5800018310547,248.5035209488248
2018-08-08,219.4600067138672,248.5035209488248
2018-08-07,220.30999755859375,248.5035209488248
2018-08-06,216.9499969482422,248.5035209488248
2018-08-03,217.80999755859375,248.5035209488248
2018-08-02,216.35000610351562,248.5035209488248
2018-08-01,216.8000030517578,248.5035209488248
2018-07-31,221.77000427246094,248.5035209488248
2018-07-30,225.19000244140625,248.5035209488248
2018-07-27,221.0500030517578,248.5035209488248
2018-07-26,223.17999267578125,248.5035209488248
2018-07-25,225.97000122070312,248.5035209488248
2018-07-24,217.33999633789062,248.5035209488248
2018-07-23,216.72000122070312,248.5035209488248
2018-07-20,210.3300018310547,248.5035209488248
2018-07-19,210.3699951171875,248.5035209488248
2018-07-18,208.77999877929688,248.5035209488248
2018-07-17,208.30999755859375,248.5035209488248
2018-07-16,203.25,248.5035209488248
2018-07-13,202.4600067138672,248.5035209488248
2018-07-12,209.97999572753906,248.5035209488248
2018-07-11,243.44000244140625,248.5035209488248
2018-07-10,250.55999755859375,248.5035209488248
2018-07-09,247.42999267578125,248.5035209488248
2018-07-06,247.67999267578125,248.5035209488248
2018-07-05,245.39999389648438,248.5035209488248
2018-07-03,239.2899932861328,248.5035209488248
2018-07-02,242.0500030517578,248.5035209488248
